,visit_id,region,gender,start times,end times,referal,device,browser,new visit,returning visit
0,5508ea25-bb10-4e43-8d54-99d7215ec782,Pennsylvania,Female,2022-03-01 03:29:28.259302,2022-03-01 18:34:52.493651,email,android,chrome,yes,no
1,da5b770a-4c48-43e4-bff6-86c1ca84504b,Ohio,Female,2022-03-01 01:24:56.641619,2022-03-01 11:08:56.585903,google,windows,firefox,yes,no
2,cd54abb0-7adc-4252-a368-2674ade18292,Florida,Female,2022-03-01 19:52:26.417899,2022-03-01 23:21:36.561450,social media,mac os,safari,no,yes
3,9e15388a-da6e-402f-9f24-bd7620eefccc,Alabama,Male,2022-03-01 08:10:29.487569,2022-03-01 19:55:58.108224,direct,windows,chrome,no,yes
4,938178ad-4d5f-477d-a625-acbdf492ffd7,Maine,Male,2022-03-01 23:30:40.136093,2022-03-01 23:46:46.872234,google,ios,safari,no,yes
5,9ea48bb2-8587-40fe-87f5-6fe7d89e990f,New Jersey,Male,2022-03-01 11:22:13.574271,2022-03-01 17:52:55.855819,direct,mac os,safari,no,yes
6,475e39bf-e02c-4be6-8cff-a28052f655df,Nevada,Female,2022-03-01 12:44:14.677770,2022-03-01 23:39:52.677046,email,android,chrome,no,yes
7,6a7a0ca4-4ed2-422f-ae4c-5a098c924c90,Oregon,Male,2022-03-01 09:07:36.232659,2022-03-01 16:42:40.499660,direct,android,firefox,no,yes
8,d1403197-6e28-4c88-97bd-1219fce89230,Washington,Male,2022-03-01 04:37:18.403728,2022-03-01 09:09:48.456143,email,mac os,firefox,yes,no
9,8ca0dc78-145b-4004-982a-adfb32525500,California,Female,2022-03-01 20:47:22.175313,2022-03-01 22:55:48.974007,direct,android,firefox,no,yes
10,e3fb5b9f-0fd3-4c55-af19-e84a14e0f3ed,Washington,Male,2022-03-01 11:43:03.368020,2022-03-01 17:40:25.971483,email,mac os,chrome,yes,no
11,337483a5-f4f0-4da2-85a5-1e2cd26475e9,Alabama,Male,2022-03-01 12:47:06.002844,2022-03-01 13:08:44.040090,social media,mac os,safari,no,yes
